电影名称,电影排名,电影评分,短评,评论人数
爆裂鼓手,172,8.6,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。,251314
追随,173,8.9,诺兰的牛逼来源于内心散发出的恐惧。,85736
一次别离,174,8.7,只有有信仰的人才能说出事实真相。,138545
未麻的部屋,175,8.8,好的剧本是，就算你猜到了结局也猜不到全部。,104289
撞车,176,8.6,天使与魔鬼的冲撞。,181146
血战钢锯岭,177,8.7,优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。,334663
可可西里,178,8.7,坚硬的信仰。,135229
战争之王,179,8.5,做一颗让别人需要你的棋子。,182188
恐怖游轮,180,8.3,不要企图在重复中寻找已经失去的爱。,343614
地球上的星星,181,8.8,天使保护事件始末。,89847
梦之安魂曲,182,8.7,一场没有春天的噩梦。,116629
达拉斯买家俱乐部,183,8.7,Jared Leto的腿比女人还美！,176945
被解救的姜戈,184,8.6,热血沸腾，那个低俗、性感的无耻混蛋又来了。,270949
阿飞正传,185,8.5,王家卫是一种风格，张国荣是一个代表。,192666
牯岭街少年杀人事件,186,8.7,弱者送给弱者的一刀。,112285
谍影重重,187,8.5,哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。,200299
谍影重重2,188,8.5,谁说王家卫镜头很晃？,166298
魔女宅急便,189,8.5,宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。,204597
头脑特工队,190,8.7,愿我们都不用长大，每一座城堡都能永远存在。,240030
房间,191,8.8,被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。,164387
忠犬八公物语,192,9.0,养狗三日，便会对你终其一生。,63357
惊魂记,193,8.9,故事的反转与反转，分裂电影的始祖。,87444
碧海蓝天,194,8.7,在那片深蓝中，感受来自大海的忧伤寂寞与美丽自由。,110485
再次出发之纽约遇见你,195,8.5,爱我就给我看你的播放列表。,179222
青蛇,196,8.4,人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。,231576
小萝莉的猴神大叔,197,8.6,无,156567
东京物语,198,9.2,东京那么大，如果有一天走失了，恐怕一辈子不能再相见。,53462
秒速5厘米,199,8.3,青春就是放弃和怀念。,312215
哪吒闹海,200,8.9,想你时你在闹海。,84535
末路狂花,201,8.7,没有了退路，只好飞向自由。,109409
